student_id,level,stream,gender,religion,minority_status,caste_category,previous_education_percentage,annual_income,other_scholarship,scholarship_id,scholarship_name,min_percentage,max_income,eligible,allowed_caste
S00387,UG,BCom Finance,Female,Hindu,0,ST,57.9,263513,1,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00434,UG,BSc Physics,Male,Christian,1,General,81.7,288226,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00276,UG,BA English,Male,Hindu,0,OBC,73.8,172110,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00208,PG,MCom Finance,Male,Muslim,1,General,70.2,648750,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00103,PG,MA English,Female,Christian,1,General,81.6,613619,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00079,UG,BSc Chemistry,Male,Hindu,0,ST,58.2,181450,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00110,UG,BCom Finance,Female,Christian,1,General,58.5,647561,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00212,PG,MCom Finance,Male,Hindu,0,SC,78.5,404970,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00086,UG,BSc Mathematics,Male,Hindu,0,ST,78,585274,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00442,PG,MA English,Male,Hindu,0,ST,83.1,501311,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00233,PG,MA English,Female,Hindu,0,General,64.9,618558,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00157,UG,BSc Physics,Male,Muslim,1,General,86.9,342138,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00029,UG,BCom Finance,Male,Hindu,0,OBC,65.5,687557,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00341,UG,BCom Finance,Male,Hindu,0,OBC,75.7,372828,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00207,PG,MSc Mathematics,Female,Muslim,1,General,73.2,677619,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00032,PG,MA English,Female,Hindu,0,General,79,105566,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00077,UG,BSc Physics,Male,Hindu,0,General,72.8,654384,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00036,UG,BA Economics,Male,Christian,1,General,69.9,150451,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,1,General
S00358,PG,MCom Finance,Male,Hindu,0,General,79.4,137974,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00248,UG,BA English,Female,Hindu,0,OBC,70.6,281945,1,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00044,UG,BCom Finance,Female,Hindu,0,OBC,73.4,178734,1,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00049,UG,BCom Finance,Female,Hindu,0,OBC,77.2,398953,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00022,UG,BSc Physics,Male,Hindu,0,General,68.6,388772,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00201,PG,MCom Finance,Male,Hindu,0,SC,69,512721,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00077,UG,BSc Physics,Male,Hindu,0,General,72.8,654384,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00412,PG,MSc Mathematics,Male,Muslim,1,General,70.3,446001,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00273,UG,BSc Chemistry,Female,Hindu,0,General,75.3,681004,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00191,UG,BSc Mathematics,Female,Muslim,1,General,76.5,530456,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00268,UG,BA Economics,Female,Christian,1,General,53.4,451831,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00374,UG,BA Economics,Female,Muslim,1,General,60.4,626169,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00237,PG,MA English,Female,Hindu,0,SC,78.9,372485,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00147,PG,MCom Finance,Male,Hindu,0,SC,83.8,464774,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00336,UG,BSc Physics,Female,Muslim,1,General,60.7,65294,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,1,General
S00359,PG,MSc Mathematics,Male,Christian,1,General,64.1,253497,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00216,UG,BSc Mathematics,Female,Hindu,0,OBC,62.9,258754,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00307,PG,MA English,Female,Muslim,1,General,72.5,205172,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00402,UG,BSc Chemistry,Female,Hindu,0,OBC,72.1,591169,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00166,PG,MSc Mathematics,Female,Muslim,1,General,72.5,357909,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00405,UG,BA Economics,Male,Hindu,0,OBC,68.9,617560,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00059,UG,BA Economics,Male,Muslim,1,General,67.3,650153,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00238,UG,BCom Finance,Male,Muslim,1,General,79.1,232309,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00399,PG,MCom Finance,Male,Hindu,0,OBC,64.1,664891,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00326,PG,MA English,Female,Muslim,1,General,88,245506,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00258,UG,BSc Physics,Male,Hindu,0,General,88.7,106953,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00305,UG,BSc Mathematics,Female,Muslim,1,General,85.4,454541,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00069,UG,BSc Physics,Female,Hindu,0,General,73.2,193336,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00094,UG,BSc Chemistry,Male,Hindu,0,SC,68.7,206227,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00010,UG,BSc Chemistry,Male,Christian,1,General,84.2,233337,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00147,PG,MCom Finance,Male,Hindu,0,SC,83.8,464774,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00297,UG,BSc Mathematics,Female,Hindu,0,General,57,388167,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00027,UG,BSc Physics,Male,Hindu,0,ST,68.8,270851,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00173,UG,BCom Finance,Male,Hindu,0,OBC,68.1,112513,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00165,PG,MSc Mathematics,Female,Muslim,1,General,75.3,524631,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00157,UG,BSc Physics,Male,Muslim,1,General,86.9,342138,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00269,UG,BA Economics,Male,Muslim,1,General,64.5,340899,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00187,PG,MA English,Female,Muslim,1,General,71.1,585646,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00298,UG,BSc Physics,Female,Hindu,0,OBC,73,213040,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00445,PG,MCom Finance,Female,Christian,1,General,69.2,104477,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,1,General
S00247,PG,MCom Finance,Male,Muslim,1,General,60.6,294338,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00343,UG,BA Economics,Female,Christian,1,General,70.2,316944,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00445,PG,MCom Finance,Female,Christian,1,General,69.2,104477,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,1,General
S00142,PG,MA English,Female,Hindu,0,ST,75,641007,1,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00089,PG,MCom Finance,Male,Hindu,0,OBC,75.2,381645,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00099,UG,BA English,Male,Hindu,0,ST,80.7,462026,1,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00350,PG,MA English,Male,Hindu,0,General,88,353867,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00041,PG,MCom Finance,Female,Christian,1,General,84.5,98625,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00199,UG,BA English,Male,Hindu,0,OBC,61,158815,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00114,UG,BCom Finance,Female,Hindu,0,SC,72.2,386591,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00159,PG,MA English,Male,Christian,1,General,58.1,50169,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,1,General
S00419,PG,MSc Mathematics,Male,Muslim,1,General,77.1,685132,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00121,PG,MA English,Female,Hindu,0,ST,61.6,289824,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00250,UG,BA Economics,Male,Hindu,0,SC,64.6,123390,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00384,UG,BSc Mathematics,Male,Muslim,1,General,79.6,458998,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00229,PG,MCom Finance,Female,Muslim,1,General,76.7,308526,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00360,UG,BSc Physics,Male,Muslim,1,General,78.2,367784,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00395,UG,BSc Physics,Male,Hindu,0,General,71.2,247464,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00012,PG,MA English,Male,Hindu,0,General,75,67137,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00194,UG,BA English,Female,Muslim,1,General,77.3,131573,1,SCH_SM,State Merit Scholarship (Kerala),75,150000,1,ALL
S00312,UG,BSc Mathematics,Male,Hindu,0,OBC,75.8,492276,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00052,UG,BSc Mathematics,Male,Hindu,0,SC,64.8,625461,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00239,PG,MA English,Male,Hindu,0,General,71.6,321660,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00369,UG,BA English,Male,Hindu,0,OBC,53.5,598571,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00435,PG,MSc Mathematics,Female,Hindu,0,General,90,219218,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00111,UG,BSc Mathematics,Male,Hindu,0,OBC,69.9,190897,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00064,UG,BCom Finance,Female,Muslim,1,General,68.9,518934,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00289,UG,BSc Mathematics,Female,Hindu,0,OBC,76.2,312201,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00257,UG,BSc Chemistry,Female,Hindu,0,ST,82.9,142656,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00008,PG,MSc Mathematics,Male,Muslim,1,General,82.2,534183,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00077,UG,BSc Physics,Male,Hindu,0,General,72.8,654384,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00435,PG,MSc Mathematics,Female,Hindu,0,General,90,219218,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00322,PG,MSc Mathematics,Female,Hindu,0,OBC,76.2,396086,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00190,PG,MA English,Female,Hindu,0,OBC,76.3,350993,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00346,PG,MA English,Female,Muslim,1,General,72.5,461455,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00283,UG,BCom Finance,Male,Muslim,1,General,56.5,152103,1,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00146,UG,BSc Chemistry,Female,Muslim,1,General,69.4,291368,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00080,UG,BA English,Female,Hindu,0,OBC,83.3,49612,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00042,UG,BCom Finance,Male,Hindu,0,General,72.7,319674,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00209,PG,MCom Finance,Female,Hindu,0,OBC,76.8,531577,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00265,UG,BA Economics,Male,Hindu,0,General,64,629083,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00087,PG,MCom Finance,Male,Hindu,0,SC,68.4,574131,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00189,PG,MCom Finance,Male,Muslim,1,General,72,506797,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00359,PG,MSc Mathematics,Male,Christian,1,General,64.1,253497,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00230,UG,BSc Physics,Female,Hindu,0,ST,56.6,639935,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00352,UG,BSc Chemistry,Female,Hindu,0,General,61.3,626137,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00121,PG,MA English,Female,Hindu,0,ST,61.6,289824,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00124,UG,BA Economics,Female,Hindu,0,OBC,65,549471,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00061,UG,BCom Finance,Female,Christian,1,General,69,319073,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00100,UG,BSc Physics,Male,Hindu,0,SC,63.2,670284,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00214,UG,BSc Chemistry,Male,Christian,1,General,64.2,690166,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00190,PG,MA English,Female,Hindu,0,OBC,76.3,350993,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00099,UG,BA English,Male,Hindu,0,ST,80.7,462026,1,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00427,UG,BA English,Male,Hindu,0,OBC,69.2,467062,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00216,UG,BSc Mathematics,Female,Hindu,0,OBC,62.9,258754,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00337,PG,MCom Finance,Male,Hindu,0,ST,87.3,322540,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00244,PG,MSc Mathematics,Female,Muslim,1,General,70.3,106629,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00365,UG,BSc Mathematics,Male,Hindu,0,OBC,64.9,555274,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00321,UG,BA Economics,Male,Hindu,0,SC,57.1,210778,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00073,PG,MA English,Female,Hindu,0,General,81.6,134811,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00033,PG,MA English,Male,Hindu,0,SC,77,257660,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00055,UG,BCom Finance,Female,Hindu,0,OBC,70.9,208113,1,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00360,UG,BSc Physics,Male,Muslim,1,General,78.2,367784,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00022,UG,BSc Physics,Male,Hindu,0,General,68.6,388772,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00305,UG,BSc Mathematics,Female,Muslim,1,General,85.4,454541,0,SCH_IN,INSPIRE Scholarship,80,500000,1,ALL
S00044,UG,BCom Finance,Female,Hindu,0,OBC,73.4,178734,1,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00290,PG,MCom Finance,Female,Hindu,0,OBC,65.5,575847,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00049,UG,BCom Finance,Female,Hindu,0,OBC,77.2,398953,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00264,PG,MSc Mathematics,Female,Hindu,0,OBC,70.4,234642,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00378,PG,MA English,Female,Hindu,0,OBC,95,553670,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00428,UG,BCom Finance,Female,Hindu,0,General,82.3,671512,1,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00064,UG,BCom Finance,Female,Muslim,1,General,68.9,518934,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00096,UG,BSc Chemistry,Female,Hindu,0,OBC,63.8,498958,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00443,UG,BA Economics,Male,Hindu,0,OBC,50,248814,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00335,UG,BSc Mathematics,Male,Hindu,0,SC,81.1,62618,0,SCH_IN,INSPIRE Scholarship,80,500000,1,ALL
S00285,PG,MSc Mathematics,Male,Hindu,0,SC,74.2,528966,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00120,UG,BSc Physics,Male,Muslim,1,General,67.1,76197,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00104,UG,BSc Mathematics,Female,Hindu,0,SC,89,449341,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00201,PG,MCom Finance,Male,Hindu,0,SC,69,512721,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00240,UG,BA Economics,Female,Muslim,1,General,59.7,472027,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00113,PG,MSc Mathematics,Male,Muslim,1,General,72,65086,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00009,UG,BA English,Female,Hindu,0,General,63.5,87861,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00352,UG,BSc Chemistry,Female,Hindu,0,General,61.3,626137,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00384,UG,BSc Mathematics,Male,Muslim,1,General,79.6,458998,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00356,PG,MCom Finance,Female,Hindu,0,General,80.1,119699,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00037,UG,BSc Physics,Male,Christian,1,General,76.5,576450,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00092,UG,BSc Physics,Male,Hindu,0,OBC,63.3,87969,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00038,UG,BCom Finance,Male,Hindu,0,OBC,79.4,514412,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00416,UG,BSc Physics,Female,Hindu,0,OBC,80.2,305668,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00260,UG,BSc Physics,Male,Christian,1,General,71.6,518425,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00189,PG,MCom Finance,Male,Muslim,1,General,72,506797,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00315,UG,BSc Mathematics,Female,Hindu,0,SC,61.6,472663,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00212,PG,MCom Finance,Male,Hindu,0,SC,78.5,404970,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00116,UG,BSc Mathematics,Female,Christian,1,General,72.9,637517,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00382,UG,BA English,Male,Hindu,0,General,67.6,396462,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00162,UG,BA Economics,Female,Hindu,0,General,82.1,128973,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00438,UG,BA English,Male,Christian,1,General,70.6,393654,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00288,UG,BSc Mathematics,Male,Hindu,0,General,73.3,218710,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00331,UG,BSc Chemistry,Male,Hindu,0,OBC,74.3,227306,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00263,PG,MCom Finance,Female,Hindu,0,SC,65.8,349727,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00318,UG,BSc Mathematics,Male,Hindu,0,General,80,536486,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00017,UG,BSc Chemistry,Female,Hindu,0,OBC,71.1,337632,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00011,UG,BA English,Male,Muslim,1,General,73.3,348768,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00140,UG,BA Economics,Male,Hindu,0,General,65.2,604576,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00293,UG,BA English,Female,Muslim,1,General,59.5,662094,0,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00118,PG,MCom Finance,Male,Hindu,0,General,55.6,112901,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00047,UG,BA Economics,Male,Hindu,0,OBC,86.5,112516,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00381,UG,BA Economics,Male,Hindu,0,General,57.9,269017,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00236,UG,BA English,Female,Muslim,1,General,69.3,677673,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00073,PG,MA English,Female,Hindu,0,General,81.6,134811,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00223,PG,MCom Finance,Male,Muslim,1,General,86.4,608041,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00193,UG,BSc Chemistry,Male,Muslim,1,General,84.3,397127,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00322,PG,MSc Mathematics,Female,Hindu,0,OBC,76.2,396086,1,SCH_IN,INSPIRE Scholarship,80,500000,0,ALL
S00220,PG,MSc Mathematics,Male,Hindu,0,OBC,76,471198,1,SCH_EG,E-Grantz Scholarship (Kerala),,600000,1,"SC, ST, OBC"
S00135,PG,MA English,Male,Christian,1,General,72.7,575482,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00203,UG,BA Economics,Female,Christian,1,General,86.1,392583,0,SCH_SM,State Merit Scholarship (Kerala),75,150000,0,ALL
S00421,PG,MCom Finance,Female,Christian,1,General,62.3,577001,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00051,UG,BA English,Female,Hindu,0,General,59.3,142889,0,SCH_PM,Post-Matric Scholarship (Minority),50,200000,0,General
S00135,PG,MA English,Male,Christian,1,General,72.7,575482,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00274,UG,BSc Physics,Female,Hindu,0,General,72.6,79314,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
S00367,UG,BA English,Female,Christian,1,General,77.6,261727,0,SCH_EG,E-Grantz Scholarship (Kerala),,600000,0,"SC, ST, OBC"
