previous_education_percentage,annual_income,other_scholarship,eligible,academic_percentile,financial_need_index,scholarship_history_score,top_student_flag,low_income_flag,egrantz_eligible,level_PG,level_UG,stream_BA Economics,stream_BA English,stream_BCom Finance,stream_BSc Chemistry,stream_BSc Mathematics,stream_BSc Physics,stream_MA English,stream_MCom Finance,stream_MSc Mathematics,gender_Female,gender_Male,caste_category_General,caste_category_OBC,caste_category_SC,caste_category_ST
62.9,258754,0,0,0.629,3.864659620103959e-06,0.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
72.5,205172,1,0,0.725,4.873935654301492e-06,1.5,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
72.1,591169,0,0,0.721,1.6915608031530693e-06,0.0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
72.5,357909,0,0,0.725,2.793998491240815e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
68.9,617560,0,0,0.6890000000000001,1.6192732377854171e-06,0.0,0,0,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
67.3,650153,0,0,0.6729999999999999,1.5380971277574236e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
79.1,232309,0,0,0.7909999999999999,4.304593000731781e-06,0.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
64.1,664891,0,0,0.6409999999999999,1.5040036577368955e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
88.0,245506,0,0,0.88,4.073203615375529e-06,0.0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
88.7,106953,0,1,0.887,9.349813938702619e-06,0.0,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
85.4,454541,0,0,0.8540000000000001,2.200016720127073e-06,0.0,1,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
73.2,193336,0,0,0.732,5.1723156974609105e-06,0.0,0,1,0,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
68.7,206227,0,0,0.687,4.849002075372888e-06,0.0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
84.2,233337,0,0,0.8420000000000001,4.285628573142823e-06,0.0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
83.8,464774,0,0,0.838,2.1515787208864502e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
57.0,388167,0,0,0.57,2.576204117804662e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
68.8,270851,0,0,0.688,3.6920532246392866e-06,0.0,0,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
68.1,112513,1,0,0.6809999999999999,8.887782853689319e-06,1.5,0,1,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
75.3,524631,0,0,0.753,1.9060979886854023e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
86.9,342138,0,0,0.8690000000000001,2.9227886911459962e-06,0.0,1,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
64.5,340899,0,0,0.645,2.9334115576415373e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
71.1,585646,0,0,0.711,1.7075132289587414e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
73.0,213040,0,1,0.73,4.693932153904647e-06,0.0,0,0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
69.2,104477,0,1,0.6920000000000001,9.571393020540209e-06,0.0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
60.6,294338,0,0,0.606,3.3974430843347295e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
70.2,316944,0,0,0.7020000000000001,3.1551215510577545e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
69.2,104477,0,1,0.6920000000000001,9.571393020540209e-06,0.0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
75.0,641007,1,0,0.75,1.5600429323814992e-06,1.5,0,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
75.2,381645,0,0,0.752,2.6202292176519603e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
80.7,462026,1,0,0.807,2.1643756750146638e-06,1.5,0,0,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
88.0,353867,0,0,0.88,2.8259124871420982e-06,0.0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
84.5,98625,0,0,0.845,1.0139314176789083e-05,0.0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
61.0,158815,0,1,0.61,6.296594801531332e-06,0.0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
72.2,386591,0,0,0.722,2.586706398476947e-06,0.0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
58.1,50169,0,1,0.581,1.9932230416583615e-05,0.0,0,1,0,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
77.1,685132,0,0,0.7709999999999999,1.4595706235139747e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
61.6,289824,0,0,0.616,3.450357974639869e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
64.6,123390,0,0,0.6459999999999999,8.104318791483982e-06,0.0,0,1,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
79.6,458998,0,0,0.7959999999999999,2.1786539839956076e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
76.7,308526,0,0,0.767,3.2412074145860816e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
78.2,367784,0,0,0.782,2.7189798387644956e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
71.2,247464,0,0,0.7120000000000001,4.040975491483644e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
75.0,67137,0,1,0.75,1.4894694509815604e-05,0.0,0,1,0,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
77.3,131573,1,0,0.773,7.60028577074498e-06,1.5,0,1,0,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
75.8,492276,0,0,0.758,2.0313766436376267e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
64.8,625461,0,0,0.648,1.5988181536208435e-06,0.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
71.6,321660,0,0,0.716,3.108863057691172e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
53.5,598571,0,0,0.535,1.67064279652239e-06,0.0,0,0,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
90.0,219218,0,0,0.9,4.561648397264836e-06,0.0,1,0,0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
69.9,190897,0,1,0.6990000000000001,5.238399564165156e-06,0.0,0,1,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
68.9,518934,0,0,0.6890000000000001,1.92702361567441e-06,0.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
76.2,312201,0,1,0.762,3.2030544327070296e-06,0.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
82.9,142656,0,1,0.8290000000000001,7.009820758883196e-06,0.0,0,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
82.2,534183,0,0,0.8220000000000001,1.8720141374507661e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
72.8,654384,0,0,0.728,1.5281523873560673e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
90.0,219218,0,0,0.9,4.561648397264836e-06,0.0,1,0,0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
76.2,396086,1,0,0.762,2.5246978567839896e-06,1.5,0,0,1,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
76.3,350993,0,0,0.763,2.849051550738759e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
72.5,461455,0,0,0.725,2.167053846953989e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
56.5,152103,1,0,0.565,6.574449061168674e-06,1.5,0,1,1,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
69.4,291368,0,1,0.6940000000000001,3.4320741053440827e-06,0.0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
83.3,49612,0,1,0.833,2.015600749803479e-05,0.0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
72.7,319674,0,0,0.727,3.128177054821303e-06,0.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
76.8,531577,0,0,0.768,1.8811914714303452e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
64.0,629083,0,0,0.64,1.5896128338981758e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
68.4,574131,0,0,0.684,1.7417597346951572e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
72.0,506797,0,0,0.72,1.973172743380992e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
64.1,253497,0,0,0.6409999999999999,3.9448042982587635e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
56.6,639935,0,0,0.5660000000000001,1.5626562656265627e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
61.3,626137,0,0,0.613,1.5970920148593441e-06,0.0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
61.6,289824,0,0,0.616,3.450357974639869e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
65.0,549471,0,0,0.65,1.819928949973793e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
69.0,319073,0,0,0.69,3.134069212784495e-06,0.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
63.2,670284,0,0,0.632,1.4919026981060296e-06,0.0,0,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
64.2,690166,0,0,0.642,1.448924680548331e-06,0.0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
76.3,350993,0,0,0.763,2.849051550738759e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
80.7,462026,1,0,0.807,2.1643756750146638e-06,1.5,0,0,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
69.2,467062,0,0,0.6920000000000001,2.141038789199744e-06,0.0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
62.9,258754,0,0,0.629,3.864659620103959e-06,0.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
87.3,322540,0,0,0.873,3.1003810368294263e-06,0.0,1,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
70.3,106629,0,1,0.703,9.37822376441902e-06,0.0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
64.9,555274,0,0,0.649,1.8009094592769348e-06,0.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
57.1,210778,0,0,0.5710000000000001,4.744305647147012e-06,0.0,0,0,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
81.6,134811,0,1,0.816,7.417737293416017e-06,0.0,0,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
77.0,257660,0,0,0.77,3.881068535789274e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
70.9,208113,1,0,0.7090000000000001,4.805058765868706e-06,1.5,0,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
78.2,367784,0,0,0.782,2.7189798387644956e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
68.6,388772,0,0,0.6859999999999999,2.5721950855640697e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
85.4,454541,0,0,0.8540000000000001,2.200016720127073e-06,0.0,1,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
73.4,178734,1,0,0.7340000000000001,5.594875094413517e-06,1.5,0,1,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
65.5,575847,0,0,0.655,1.7365693724732916e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
77.2,398953,0,0,0.772,2.506554640384606e-06,0.0,0,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
70.4,234642,1,0,0.7040000000000001,4.261793447918753e-06,1.5,0,0,1,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
95.0,553670,0,0,0.95,1.806126743138073e-06,0.0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
82.3,671512,1,0,0.823,1.4891744463621702e-06,1.5,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
68.9,518934,0,0,0.6890000000000001,1.92702361567441e-06,0.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
63.8,498958,0,0,0.638,2.004172687535449e-06,0.0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
50.0,248814,0,1,0.5,4.019050298414485e-06,0.0,0,0,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
81.1,62618,0,1,0.8109999999999999,1.5969593893227296e-05,0.0,0,1,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
74.2,528966,0,0,0.742,1.8904770997056528e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
67.1,76197,0,0,0.6709999999999999,1.312370403422662e-05,0.0,0,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
89.0,449341,1,0,0.89,2.225476363215546e-06,1.5,1,0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
69.0,512721,0,0,0.69,1.9503746669735257e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
59.7,472027,1,0,0.597,2.118518392976688e-06,1.5,0,0,0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
72.0,65086,0,1,0.72,1.5364051193018575e-05,0.0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
63.5,87861,0,1,0.635,1.1381484600851334e-05,0.0,0,1,0,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
61.3,626137,0,0,0.613,1.5970920148593441e-06,0.0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
79.6,458998,0,0,0.7959999999999999,2.1786539839956076e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
80.1,119699,0,1,0.8009999999999999,8.35421888053467e-06,0.0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
76.5,576450,0,0,0.765,1.7347528237439088e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
63.3,87969,0,1,0.633,1.1367511651699443e-05,0.0,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
79.4,514412,0,0,0.794,1.943963313524347e-06,0.0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
80.2,305668,0,0,0.802,3.2715126493036587e-06,0.0,0,0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
71.6,518425,0,0,0.716,1.92891560222674e-06,0.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
72.0,506797,0,0,0.72,1.973172743380992e-06,0.0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
61.6,472663,0,0,0.616,2.11566778938104e-06,0.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
78.5,404970,0,0,0.785,2.4693126174466813e-06,0.0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
72.9,637517,0,0,0.7290000000000001,1.5685831615734772e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
67.6,396462,0,0,0.6759999999999999,2.5223034684194993e-06,0.0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
82.1,128973,0,1,0.821,7.753500705568565e-06,0.0,0,1,0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
70.6,393654,0,0,0.706,2.5402954363592487e-06,0.0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
73.3,218710,0,0,0.733,4.572243737169141e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
74.3,227306,0,0,0.743,4.3993365800437294e-06,0.0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
65.8,349727,1,0,0.6579999999999999,2.859364992222527e-06,1.5,0,0,1,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
80.0,536486,0,0,0.8,1.8639780647061346e-06,0.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
71.1,337632,0,0,0.711,2.961795796027047e-06,0.0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
73.3,348768,0,0,0.733,2.8672273051790726e-06,0.0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
65.2,604576,0,0,0.652,1.654049029321327e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
59.5,662094,0,0,0.595,1.5103572750134044e-06,0.0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
55.6,112901,0,0,0.556,8.857239021452233e-06,0.0,0,1,1,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
86.5,112516,0,1,0.865,8.887545881955615e-06,0.0,1,1,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
57.9,269017,0,0,0.579,3.717223382821967e-06,0.0,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
69.3,677673,0,0,0.693,1.4756357776748112e-06,0.0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
81.6,134811,0,1,0.816,7.417737293416017e-06,0.0,0,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
86.4,608041,0,0,0.8640000000000001,1.6446232332634916e-06,0.0,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
84.3,397127,0,0,0.843,2.5180798130577545e-06,0.0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
